Ref,Val,Package,PosX,PosY,Rot,Side
"C0","1uF","C_0603_1608Metric",200.228200,-92.659200,0.000000,top
"C1","0.1uF","C_0603_1608Metric",200.253600,-94.462600,0.000000,top
"C2","0.1uF","C_0603_1608Metric",196.215000,-109.194600,0.000000,top
"C3","0.1uF","C_0603_1608Metric",210.337400,-104.368600,270.000000,top
"C4","22pF","C_0603_1608Metric",206.273400,-109.474000,270.000000,top
"C5","22pF","C_0603_1608Metric",199.034400,-109.905800,90.000000,top
"C6","1uF","C_0603_1608Metric",195.097400,-99.822000,90.000000,top
"C7","0.1uF","C_0603_1608Metric",206.121000,-94.462600,180.000000,top
"F0","500mA","Fuse_1206_3216Metric",191.005000,-87.985600,90.000000,top
"J0","USB_C_Receptacle","USB_C_Receptacle_HRO_TYPE-C-31-M-12",195.199000,-79.298800,180.000000,top
"R0","5.1k","R_0603_1608Metric",202.158600,-83.108800,270.000000,top
"R1","5.1k","R_0603_1608Metric",188.061600,-83.083400,270.000000,top
"R2","10k","R_0603_1608Metric",193.294000,-108.356400,90.000000,top
"R3","22","R_0603_1608Metric",194.411600,-96.494600,90.000000,top
"R4","22","R_0603_1608Metric",196.062600,-96.494600,90.000000,top
"R5","10k","R_0603_1608Metric",211.099400,-98.907600,180.000000,top
"R6","5.1k","R_0603_1608Metric",218.617800,-103.403400,270.000000,top
"SW0","SW_Push","button_ts_1088",188.493400,-107.899200,0.000000,top
"SW1","SW_SPDT","slider",222.681800,-102.590600,270.000000,top
"U0","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",203.200000,-101.600000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",195.249800,-91.592400,270.000000,top
"Y0","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",202.742800,-109.702600,180.000000,top
